First	Last	Address	City	State	Zip	Phone	Gender
Jack	Ni	950 Third Street	Los Gatos	CA	95112-5839	(408) 555-1238	M
Allan	Reitman	8955 Monterey Road	San Jose	CA	95020-7205	(408) 555-9822	M
Dave	Cochran	9305 Monterey Road	Los Altos	CA	95020-9603	(415) 555-1811	M
Donna	Reiss	15295 Monterey Street	San Jose	CA	95037-5449	(408) 555-1780	F
John	Eder	745 Roble Drive	Morgan Hill	CA	95037-5815	(847) 555-1600	M
Jay	Reilly	715 Roble Drive	San Jose	CA	95037-5815	(808) 555-3000	M
Michael	Clark	705 Roble Drive	San Jose	CA	95037-5815	(415) 555-1205	M
Jim	Gilette	301 Vineyard Town CTR	Santa Clara	CA	95037-5674	(408) 555-0606	M
Becton	Hoenrider	411 Vineyard Town CTR	Santa Clara	CA	95037-5631	(408) 555-9475	M
Bob	Kohlenberg	501 Vineyard Town CTR	San Jose	CA	95037-5630	(650) 555-3911	M
Dan M	Hammer	421 Vineyard Town CTR	Gilroy	CA	95037-5631	(408) 555-7171	M
James	Walsh	146 Martha Street	Cupertino	CA	95112-5813	(408) 555-6160	M
Tony	Martin	451 Vineyark Town Center	Los Gatos	CA	95037	(408) 555-7300	M
Chris	Mesick	101 Vineyard Town CTR	San Jose	CA	95037-5685	(714) 555-8001	F
Julie K.	Parr	201 Vineyard Town CTR	San Jose	CA	95037-5673	(415) 555-8550	F
Frank	Van Tiem	15745 Monterey Street	San Jose	CA	95037-5429	(415) 555-0282	M
Guy	Alves	150 Cosmo Ave	San Jose	CA	95037-5040	(415) 555-5125	M
Michael R.	De Sousa	16175 Monterey Road	Cupertino	CA	95037-5452	(408) 555-0850	M
Kenneth	Furtado	16425 Monterey Street	Los Gatos	CA	95037-7117	(415) 555-5700	M
Norman	Saulig	16195 Monterey Street	San Jose	CA	95037-5450	(415) 555-4130	M
Gary	Jones	16715 Monterey Street	Santa Clara	CA	95037-5124	(415) 555-0921	M
Antonio	Spain	16725 Monterey Street	Los Gatos	CA	95037-5124	(408) 555-9307	M
Randy	Hargrove	16745 Monterey Street	Morgan Hill	CA	95037-5124	(650) 555-7661	F
John	Jensen	16805 Monterey Street	Campbell	CA	95037-5118	(408) 555-7242	M
Dan	Opperman	16815 Monterey Street	Gilroy	CA	95037-5118	(415) 555-7525	M
Robert	Roscoe	16825 Monterey Street	San Jose	CA	95037-5118	(408) 555-7490	M
Larry	Schraegle	16835 Monterey Street	Sunnyvale	CA	95037-5118	(408) 555-8200	M
Mr. Cal	Howett	16845 Monterey Street	Los Gatos	CA	95037-5118	(408) 555-7777	M
Gene	Orloff	16875 Ciolino Ave	San Jose	CA	95037	(408) 555-3915	F
Martin	Conroy	16875 Ciolino Ave	Los Altos	CA	95037	(408) 555-6460	M
Joe	Paisley	326 Dunne Ave	Gilroy	CA	95037-4845	(312) 555-7905	M
Robert	Tucker	200 Dunne Ave	San Jose	CA	95037-4803	(703) 555-4400	M
Don	Hirsen	120 Dunne Ave	San Jose	CA	95037-4938	(650) 555-7300	M
Kay	Thisted	16955 Monterey Street	San Jose	CA	95037-5134	(408) 555-0130	F
Jimmy	Carrol	16999 Monterey Street	San Jose	CA	95037-5143	(408) 555-9995	M
James	Gosney	16935 Monterey Street	San Jose	CA	95037-5134	(408) 555-5500	M
Greg	Berliner	16935 Monterey Street	Fremont	CA	95037-5134	(650) 555-5436	M
Tom	O'Drobinak	16995 Monterey Street	San Jose	CA	95037-5135	(408) 555-1530	M
George	Montgomery	17085 Monterey Street	Santa Clara	CA	95037-3635	(415) 555-3532	M
Mr. Ken	Tyrrell	17245 Monterey Road	San Jose	CA	95037-3639	(408) 555-7232	M
Peter	Kaufman	17265 Monterey Road	Morgan Hill	CA	95037-3639	(212) 555-7420	M
Steve	Wyman	17015 Monterey Street	Los Gatos	CA	95037-3635	(415) 555-3434	M
Chris	Clarke	17045 Monterey Street	Morgan Hill	CA	95037-3686	(213) 555-4257	F
Mike	Martin	17105 Monterey Street	San Jose	CA	95037-3637	(408) 555-0200	M
Allan	Kempton	17175 Monterey Road	Los Gatos	CA	95037-3637	(408) 555-7800	M
Adam	Kuperschmidt	17195 Monterey Street	Los Gatos	CA	95037-3637	(213) 555-3111	M
Jack	Pugh	25 Fourth Street	Morgan Hill	CA	95037-4507	(415) 555-8208	M
Roy	Witte	17295 Monterey Street	San Jose	CA	95037-3639	(714) 555-7456	M
Rick	Mathews	30 Third Street	Los Gatos	CA	95037-4506	(408) 555-8269	M
Patsy	Swanson	50 Third Street	Santa Clara	CA	95037-4506	(408) 555-5844	F
Dan	Dwigans	60 Third Street	Cupertino	CA	95037-4506	(213) 555-5225	M
Mike	Velasquez	85 First Street	San Jose	CA	95037-4565	(408) 555-6000	M
Barbara	Diamond	83 First Street	Santa Clara	CA	95037-4565	(408) 555-7837	F
Craig	Muma	17415 Monterey Street	Mountain View	CA	95037-3668	(408) 555-3911	M
Bob	Debenedetti	17599 Monterey Street	Scotts Valley	CA	95037-3645	(415) 555-2717	M
Juan	Davis	15 First Street	Santa Clara	CA	95037-4501	(650) 555-6060	M
Ned	Yasuda	17535 Monterey Road	San Jose	CA	95037-3645	(650) 555-7300	M
Howard	Macintosh	95 First Street	Fremont	CA	95037-4566	(650) 555-8530	M
Dale	Perkins	87 First Street	Los Gatos	CA	95037-4566	(408) 555-5400	M
Mike	McEnery	75 Third Street	Gilroy	CA	95037-4505	(408) 555-9991	M
Sanford	Morehouse	17315 Monterey Road	Morgan Hill	CA	95037-3641	(408) 555-1401x207	M
Gary	Meyer	17335 Monterey Street	Santa Clara	CA	95037-3641	(415) 555-3240	M
Don	Pabian	17355 Monterey Street	San Jose	CA	95037-3641	(408) 555-5600	M
Nicholas	O'Connell	17395 Monterey Road	San Jose	CA	95037-3641	(213) 555-4253	M
Neesham	Brisbois, Jr.	60 Second Street	San Jose	CA	95037-4500	(415) 555-4687	F
Daniel	Maxon	84 Second Street	Morgan Hill	CA	95037-4504	(408) 555-7362	M
William	Handy	17450 Del Monte Ave	Gilroy	CA	95037-4516	(415) 555-3200	M
Mr. Henry	Corfee	17450 Del Monte Ave	San Jose	CA	95037-4516	(408) 555-4531	M
Sherry	Vansickle	17450 Del Monte Ave	Los Gatos	CA	95037-4516	(408) 555-5810	F
Goerge	Morrison	95 Second Street	Sunnyvale	CA	95037-4503	(408) 555-0272	M
Philip	Jones	85 Second Street	Morgan Hill	CA	95037-4503	(410) 555-4083	M
John	Barber	75 Second Street	San Jose	CA	95037-4503	(408) 555-3862	M
Hal	Collins	65 Second Street	Cupertino	CA	95037-4503	(408) 555-4468	M
Peter	Reinardy	55 Second Street	San Jose	CA	95037-4503	(408) 555-1155	M
David	Davies	45 Second Street	Gilroy	CA	95037-4503	(650) 555-2262	M
Muriel	Gizwald	17435 Monterey Street	San Jose	CA	95037-3643	(408) 555-9686	F
Charles W.	Wohl	17455 Monterey Street	San Jose	CA	95037-3643	(408) 555-1925	M
Mr.	Gruen	17455 Monterey Street	San Jose	CA	95037-3643	(404) 555-0880	M
Terry	Krauter	17485 Monterey Street	Cupertino	CA	95037-3671	(408) 555-4282	F
Doug	Oliver	17485 Monterey Street	Los Gatos	CA	95037-3671	(408) 555-7771	M
William	Yoshihara	60 First Street	San Jose	CA	95037-4541	(408) 555-0206	M
C.T.Santa	Creighton	70 First Street	San Jose	CA	95037-4502	(415) 555-3770	M
Dan	Wolff	92 First Street	Morgan Hill	CA	95037-4502	(415) 555-2411	M
Peggy	Peth	17490 Del Monte Ave	San Jose	CA	95037-4516	(408) 555-6700	F
James	Kerins	65 First Street	Santa Clara	CA	95037-4501	(408) 555-0353	M
Ruth	Fong	55 First Street	Campbell	CA	95037-4501	(408) 555-9227	M
Richard	Hering	45 First Street	San Jose	CA	95037-4501	(415) 555-3042	M
Steven	Atlas	35 First Street	Mountain View	CA	95037-4501	(408) 555-2759	M
Lance	Hering	25 First Street	Santa Clara	CA	95037-4501	(408) 555-1400	M
Dave	Mcauliffe	17555 Monterey Street	San Jose	CA	95037-3645	(408) 555-5110	M
John	Norman	17575 Monterey Street	Campbell	CA	95037-3645	(650) 555-1214	M
Tim	Law	40 Main Ave	Los Gatos	CA	95037-4526	(415) 555-1700	M
Dan	Rosasco	50 Main Ave	San Jose	CA	95037-4567	(408) 555-2400	M
Mike	Bell	144 Martha Street	Gilroy	CA	95112-5813	(415) 555-9900	M
Brent	Taylor	60 Main Ave	San Jose	CA	95037-4553	(408) 555-7349	M
Abraham	Willett	70 Main Ave	Gilroy	CA	95037-4526	(408) 555-2300	M
Cliff	Hess	17590 Del Monte Ave	San Jose	CA	95037-4550	(408) 555-3355	M
Jack	Lyle	17570 Del Monte Ave	Morgan Hill	CA	95037-4550	(415) 555-7112	M
Brian C	Fox	17550 Del Monte Ave	San Jose	CA	95037-4550	(408) 555-9222	M
Marion	Punkhouser	17345 Del Monte Ave	Los Gatos	CA	95037-4513	(408) 555-1774	F
Marcia	Bianchi	17405 Del Monte Ave	San Jose	CA	95037-4515	(408) 555-9786	F
Donald	Jamison	17415 Del Monte Ave	Morgan Hill	CA	95037-4515	(408) 555-2792	M
Bob	Volz	17425 Del Monte Ave	San Jose	CA	95037-4515	(415) 555-2111	M
Chip	Griffin	140 Martha Street	Sunnyvale	CA	95112-5813	(408) 555-5157	M
Michael	Kapp	110 Warren Ave	Gilroy	CA	95037-4560	(408) 555-1414	M
Stephanie	Macdonald	17577 Del Monte Ave	San Jose	CA	95037-4517	(408) 555-4883	F
Page	Weeks	17579 Del Monte Ave	San Jose	CA	95037-4517	(408) 555-4000	M
Jim	Hastle	17575 Del Monte Ave	San Jose	CA	95037-4517	(408) 555-8580	M
Norman S.	Kloster	205 Warren Ave	Sunnyvale	CA	95037-4523	(408) 555-0143	M
Gina	Wingate	17505 Del Monte Ave	San Jose	CA	95037-4517	(408) 555-0151	F
Ray	Krasner	17555 Del Monte Ave	Santa Clara	CA	95037-4517	(408) 555-8000	M
John	Johnson	124 Martha Street	Morgan Hill	CA	95112-5813	(408) 555-0700	M
Larry	Pegram	17595 Del Monte Ave	San Jose	CA	95037-4517	(415) 555-2555	M
Scott	Faigin	110 Main Ave	Santa Clara	CA	95037-4556	(415) 555-8550	M
Randy	Soffer	174 Main Ave	San Jose	CA	95037-4564	(408) 555-3354	M
Mel	Davis	17620 Crest Ave	San Jose	CA	95037-4204	(408) 555-4900	M
John	Shaffer	285 Main Ave	Los Gatos	CA	95037-4552	(408) 555-6000	M
Tony	Sodoquist	263 Main Ave	Morgan Hill	CA	95037-4551	(408) 555-2700	M
Victor	May	255 Main Ave	Los Gatos	CA	95037-4551	(408) 555-1606	M
Bob	Baldwin	221 Main Ave	San Jose	CA	95037-4533	(650) 555-6300	M
Lynn	Nicholas	207 Main Ave	San Jose	CA	95037-4533	(408) 555-3220	F
Richard	Rouse	205 Main Ave	Sunnyvale	CA	95037-4529	(408) 555-8003	M
Arvid	Miller	50 Keystone Ave	San Jose	CA	95037-4330	(408) 555-4300	M
Tom	Brisbois, Jr.	54 Keystone Ave	San Jose	CA	95037-4330	(408) 555-1212	M
Robert	Swinerton	87 Main Ave	San Jose	CA	95037-4563	(201) 555-2524	M
Randy	Wilkens	145 Main Ave	Santa Clara	CA	95037-4527	(408) 555-1771	M
Frank	O'Connor	910 Third Street	San Jose	CA	95112-5839	(408) 555-8405	M
Craig	Wilkens	135 Main Ave	Santa Clara	CA	95037-4527	(415) 555-9595	M
Cathy	Warren	125 Main Ave	Santa Clara	CA	95037-4527	(415) 555-3333	F
Diane	Wong	115 Main Ave	Santa Clara	CA	95037-4527	(415) 555-4161	F
Nick	Garlock	101 Main Ave	San Jose	CA	95037-4527	(408) 555-0800	M
Mr.	Stevenson	17625 Del Monte Ave	Cupertino	CA	95037-4323	(408) 555-5777	M
Dan	Roberts	20 Keystone Ave	San Jose	CA	95037-4325	(408) 555-4145	M
Don	Reichmuth	30 Keystone Ave	San Jose	CA	95037-4325	(408) 555-9411	M
Georgia	Richmond, Jr.	90 Keystone Ave	Milpitas	CA	95037-4331	(650) 555-6200	F
Richard	Gidel	96 Keystone Ave	Morgan Hill	CA	95037-4331	(408) 555-5500	M
Diana	Iglehart	17630 Del Monte Ave	Santa Clara	CA	95037-4324	(408) 555-2600	M
George	Sage	17634 Del Monte Ave	Los Gatos	CA	95037-4324	(408) 555-0111	M
John	Roe	75 Main Ave	Milpitas	CA	95037-4525	(408) 555-7227	M
Matthias	Toeniskoetter	25 Main Ave	San Jose	CA	95037-4525	(503) 555-0400	M
Bill	Taylor	17895 Monterey Road	Los Gatos	CA	95037-3615	(408) 555-1444	M
Karen	Ellis	15 Central Ave	San Jose	CA	95037-4301	(408) 555-6565	M
Mr. Don	McEldowney	17735 Monterey Street	San Jose	CA	95037-3613	(408) 555-6320	M
Mary Ann	Lomas	17755 Monterey Street	Mountain View	CA	95037-3613	(415) 555-8396	F
Ransome	Gould	17765 Monterey Street	San Jose	CA	95037-3613	(408) 555-7720	M
J B	Lefferts	17775 Monterey Street	San Jose	CA	95037-3613	(408) 555-4200	M
Jeff	Willmore	17795 Monterey Street	Mountain View	CA	95037-3613	(408) 555-8030	M
Ian	Robinson	15 El Toro Ave	Los Gatos	CA	95037-4307	(408) 555-7066	M
Vincent	Fluegel	17825 Monterey Street	Mountain View	CA	95037-3615	(408) 555-6000	M
Richard	Barr	17835 Monterey Street	Mountain View	CA	95037-3615	(408) 555-0100	M
Jim	Wyman	17845 Monterey Street	Los Gatos	CA	95037-3615	(408) 555-6600	M
Bonnie	Stout	95 Wright Ave	San Jose	CA	95037-4320	(408) 555-8032	F
Milt	Wallace	18625 Old Monterey Road	Sunnyvale	CA	95037-3016	(408) 555-5356	M
Stephanie	Burke	16800 Jackson Oaks Drive	San Jose	CA	95037-6905	(707) 555-9416	F
Pat	Abbey	17890 Monterey Road	Gilroy	CA	95037-3697	(415) 555-3539	F
Tony	Mogadham	17780 Monterey Street	Mountain View	CA	95037-3614	(415) 555-8400	M
Steve	Murray	17770 Monterey Street	San Jose	CA	95037-3693	(408) 555-5152	M
Jennifer	Bodini	17760 Monterey Street	Santa Clara	CA	95037-7300	(408) 555-8840	F
Ted	Phillips	17720 Monterey Road	San Jose	CA	95037-3614	(650) 555-8900 x.405	M
Jim	Kujacqa	17710 Monterey Street	San Jose	CA	95037-3614	(408) 555-8580	M
Tim	Sweet	45 Central Ave	Santa Clara	CA	95037-3608	(408) 555-4111	M
Robert	Brandenburg	17745 Mclaughlin Ave	Santa Clara	CA	95037-3610	(650) 555-8500	M
Robert	Woldenberg	17610 Monterey Street	Morgan Hill	CA	95037-3612	(408) 555-1900	M
Daniel	Elliott	17730 Mclaughlin Ave	Los Gatos	CA	95037-3611	(408) 555-4646	M
Rick	Cattivera	65 Central Ave	Santa Clara	CA	95037-3608	(408) 555-0710	M
Linda	Baker	95 Central Ave	Santa Clara	CA	95037-3608	(415) 555-9060	F
Fred	Veniar	17698 Monterey Street	San Jose	CA	95037-3612	(415) 555-1464	M
Rick	Mckeever	17680 Monterey Street	Sunnyvale	CA	95037-3612	(408) 555-0300	M
Joseph	Feldman	17660 Monterey Street	Gilroy	CA	95037-3601	(415) 555-0577	M
Ende	Angelica	17660 Monterey Street	Gilroy	CA	95037-3601	(408) 555-5800	F
Mike	Meador	17650 Monterey Street	San Jose	CA	95037-3612	(408) 555-9632	M
Harry	Powell	17630 Monterey Street	Morgan Hill	CA	95037-3612	(415) 555-1700	M
Darrell	Reeves	17620 Monterey Road	San Jose	CA	95037-3612	(408) 555-9800	M
Herb	Lee	17600 Monterey Street	Mountain View	CA	95037-3669	(408) 555-1966	M
Richard	Gold	35 Main Ave	Sunnyvale	CA	95037-3623	(650) 555-1737	M
Joe	Elmer	55 Main Ave	Mountain View	CA	95037-3623	(650) 555-7300	M
Joan	Kutteh	17565 Depot Street	Gilroy	CA	95037-3619	(415) 555-2994	F
Jim	Birtcher	17575 Depot Street	San Jose	CA	95037-3619	(408) 555-2006	M
Tomonori	Walthour	80 Main Ave	Los Gatos	CA	95037-3625	(415) 555-5333	F
David	Manning	70 Main Ave	Newark	CA	95037-3624	(415) 555-8222	M
Marston	Collins	50 Main Ave	Santa Clara	CA	95037-3661	(415) 555-4000	M
Char	Haunss, Jr.	40 Main Ave	Mountain View	CA	95037-3624	(415) 555-9261	F
Tony	Boynton	17590 Monterey Road	Gilroy	CA	95037-3646	(212) 555-5600	M
Gus	Decker	17520 Monterey Street	San Jose	CA	95037-3646	(408) 555-3000	M
Elaine	Mcpherson	912 Third Street	Milpitas	CA	95112-5839	(415) 555-2121	F
Walter	Wilson	17500 Monterey Street	Santa Clara	CA	95037-3646	(650) 555-6200	M
Mack	Reid	35 First Street	Morgan Hill	CA	95037-3626	(214) 555-3300	M
Judy	Trumbull	55 First Street	San Jose	CA	95037-3626	(408) 555-0905	F
Halsey	Eschmann	57 First Street	San Jose	CA	95037-3626	(408) 555-0408	F
Christine	Jones	63 First Street	Los Gatos	CA	95037-3626	(408) 555-3240	F
Tom	Tracy	73 First Street	Los Gatos	CA	95037-3626	(650) 555-4141	M
Mike	Beaudette	85 First Street	Campbell	CA	95037-3626	(415) 555-4000	M
Richard	Turner	17545 Depot Street	San Jose	CA	95037-3647	(415) 555-7699	M
John	Grayson	17435 Depot Street	San Jose	CA	95037-3618	(510) 555-8300	M
Robert	O'Connor	17445 Depot Street	Mountain View	CA	95037-3618	(415) 555-4300	M
Chuck	Riley	918 Third Street	Morgan Hill	CA	95112-5839	(415) 555-4151	M
Bre Ann	Dockser	17455 Depot Street	San Jose	CA	95037-3618	(619) 555-4440	F
Kathy	Willoughby	17465 Depot Street	Santa Clara	CA	95037-3618	(650) 555-0122	F
David	Debartolo	17477 Depot Street	Santa Clara	CA	95037-3618	(510) 555-2174	M
Phil	Debartolo	17490 Monterey Road	Morgan Hill	CA	95037-3652	(831) 555-9954	M
Fred	Lambert	17450 Monterey Road	San Jose	CA	95037-3644	(415) 555-0900	M
Dale	Karpf	17440 Monterey Street	Los Gatos	CA	95037-3644	(408) 555-0644	M
Kevin	Puskar	17400 Monterey Street	San Jose	CA	95037-3667	(408) 555-5100	M
F.	Tibbetts	55 Second Street	Newark	CA	95037-3628	(415) 555-8478	M
Mr.	Pierandri	65 Second Street	San Jose	CA	95037-3628	(415) 555-0695	M
Robert	Maclaughlin	75 Second Street	San Jose	CA	95037-3628	(708) 555-2898	M
Bob	MacLaughlin	85 Second Street	San Jose	CA	95037-3628	(408) 555-0801	M
Richard	Helstrup	17415 Depot Street	Santa Clara	CA	95037-3618	(408) 555-5868	M
Brian/Susie	Norem	60 Second Street	San Jose	CA	95037-3629	(408) 555-8801	F
Bill	Griggs	40 Second Street	Santa Clara	CA	95037-3629	(408) 555-6500	M
Steve	Fifield	30 Second Street	Los Gatos	CA	95037-3629	(415) 555-5533 Ext. 326	M
Sherman	Zell	17380 Monterey Street	San Jose	CA	95037-3642	(408) 555-7488	M
Richard	Hinkle	17340 Monterey Street	Los Gatos	CA	95037-3642	(408) 555-8700	M
Eva	English	17340 Monterey Street	Los Gatos	CA	95037-3642	(619) 555-1854	F
Jeanne	Ratner	17330 Monterey Street	Santa Clara	CA	95037-3642	(408) 555-4700	F
Ro	Ratner	17300 Monterey Street	Santa Clara	CA	95037-3642	(408) 555-8600	F
Graham	Goss	25 Third Street	San Jose	CA	95037-3630	(415) 555-8600	M
Curtis	Norman	35 Third Street	Morgan Hill	CA	95037-3630	(650) 555-8181	M
Max	Kawase	45 Third Street	San Jose	CA	95037-3630	(301) 555-0001	M
Don	Perlmutter	55 Third Street	San Jose	CA	95037-3630	(408) 555-6400	M
John	Gregoire	57 Third Street	San Jose	CA	95037-3630	(408) 555-6000	M
Jere	Hoffmeister	65 Third Street	Mountain View	CA	95037-3630	(408) 555-1366	M
Anthony	Husmann	75 Third Street	San Jose	CA	95037-3630	(408) 555-9700	M
Whitney G.	Jacobs	95 Third Street	Santa Clara	CA	95037-3630	(408) 555-0380	F
Jim	Gutsell	91 Fourth Street	Los Gatos	CA	95037-3631	(408) 555-0590	M
Tom	Furnary	30 Third Street	San Jose	CA	95037-3603	(408) 555-5115	M
David	Callantine	17280 Monterey Street	Gilroy	CA	95037-3640	(408) 555-0900	M
Trammell	Roskind	17270 Monterey Street	San Jose	CA	95037-3640	(214) 555-4102	M
Elizabeth	Cook	17230 Monterey Street	Los Gatos	CA	95037-3640	(408) 555-2799	F
James	Heldman	17200 Monterey Street	San Jose	CA	95037-3640	(408) 555-4543	M
Oscar	Koll	17200 Monterey Street	Campbell	CA	95037-3640	(408) 555-1900	M
Rob	Magnusson	55 Fourth Street	San Jose	CA	95037-3631	(415) 555-0923	M
Benjamin	Callantine	91 Fourth Street	Morgan Hill	CA	95037-3631	(212) 555-7411	M
Bruce	Lardner	17165 Depot Street	Los Gatos	CA	95037-3653	(408) 555-4400	M
Gus	Pogue	80 Fourth Street	Mountain View	CA	95037-3688	(408) 555-9797	M
Linda	Grant	70 Fourth Street	Los Gatos	CA	95037-3688	(408) 555-9783	F
Joanne	Mack	60 Fourth Street	Los Gatos	CA	95037-3688	(714) 555-8188	F
Nadja	Pansegrau	58 Fourth Street	Mountain View	CA	95037-3688	(408) 555-9741	F
Robert	Kieselhorst	56 Fourth Street	Los Gatos	CA	95037-3688	(408) 555-4743	M
Adom	Harper	54 Fourth Street	Campbell	CA	95037-3688	(408) 555-5400	M
Mike	Peterson	52 Fourth Street	Mountain View	CA	95037-3688	(408) 555-3500	M
Judy	Melody	50 Fourth Street	San Jose	CA	95037-3688	(650) 555-5500	F
David	Gruber	40 Fourth Street	Milpitas	CA	95037-3632	(408) 555-9933	M
Kathy	Fiddaman	17190 Monterey Street	Fremont	CA	95037-3604	(408) 555-4000	F
Roy	Teel	17150 Monterey Road	Sunnyvale	CA	95037-3638	(408) 555-9512	M
Mar Dell	Tanner	17130 Monterey Street	Gilroy	CA	95037-3638	(408) 555-6630	M
Mark	Potter	17120 Monterey Road	Los Gatos	CA	95037-3638	(408) 555-6200	M
Howard	Teel	17100 Monterey Street	Sunnyvale	CA	95037-3638	(213) 555-1700	M
David	Newmann	25 Fifth Street	Morgan Hill	CA	95037-3633	(650) 555-5824	M
Michael	Iimura	35 Fifth Street	San Jose	CA	95037-3633	(650) 555-9100	M
Lori A.	Martinez	37 Fifth Street	Santa Clara	CA	95037-3633	(408) 555-1032	F
Bud	Hall	45 Fifth Street	Los Altos	CA	95037-3633	(408) 555-0451	M
Donald	Ross	55 Fifth Street	San Jose	CA	95037-3633	(408) 555-9050	M
Bill	Lentini	57 Fifth Street	Morgan Hill	CA	95037-3633	(516) 555-1548	M
Elisa	Getz	65 Fifth Street	Mountain View	CA	95037-3633	(408) 555-4884	F
Gloria C.	Kubinsky	75 Fifth Street	Mountain View	CA	95037-3633	(415) 555-3522	F
John	Imboden	85 Fifth Street	Los Gatos	CA	95037-3633	(408) 555-1200	M
John	George	20 Fifth Street	San Jose	CA	95037-3677	(415) 555-8100	M
Paul	Pantzer	17090 Monterey Street	Los Gatos	CA	95037-3636	(408) 555-0196	M
Howard	Mansfield	17060 Monterey Road	Morgan Hill	CA	95037-3636	(415) 555-3700	M
Mark	Mertz Ii	17050 Laurel Road	Santa Clara	CA	95037-4402	(408) 555-0393	M
Richard	Zerbst	8220 Monterey Road	Los Gatos	CA	95037	(408) 555-8208	M
Blanche	Hughes	85 Great Oaks Blvd	San Jose	CA	95119-1311	(408) 555-7000	F
Jeff	Riley	85 Great Oaks Blvd	San Jose	CA	95119-1311	(650) 555-1123	M
John	Peck	85 Great Oaks Blvd	Los Gatos	CA	95119-1311	(415) 555-8754	M
Thomas	Alexander	85 Great Oaks Blvd	Morgan Hill	CA	95119-1311	(212) 555-9700	M
Mr.	Shidler	22 Great Oaks Blvd	Mountain View	CA	95119-1309	(408) 555-7232	M
Patty	Kobayashi	11 Great Oaks Blvd	Mountain View	CA	95119-1359	(415) 555-3200	F
Angelo	Miller	6203 San Ignacio Ave	Sunnyvale	CA	95119-1325	(415) 555-6600	F
Sue	Recht	77 Las Colinas Lane	Santa Clara	CA	95119-1214	(408) 555-0202	M
Jeff	Simon	6288 San Ignacio Ave	Los Altos	CA	95119-1386	(408) 555-6222	M
Mr. Cecil	Simon	6410 Via Del Oro	San Jose	CA	95119-1208	(408) 555-3203	M
James	Stein	6320 San Ignacio Ave	Milpitas	CA	95119-1209	(650) 555-9099	M
Ralph	Tishman	350 Cottle Road	Los Gatos	CA	95123	(650) 555-1120	M
Jim	Speyer	6120 Liska Lane	Gilroy	CA	95119-1135	(415) 555-5500	M
Fred	Crow	6290 Santa Teresa Blvd	San Jose	CA	95119-1427	(415) 555-3400	M
Keith	Williams	6540 Via Del Oro	Morgan Hill	CA	95119	(408) 555-7943	M
Robert	Crimbly	300 Greatoak Blvd	San Jose	CA	95119	(408) 555-6916	M
Bob	Domb	6835 Via Del Oro	Santa Clara	CA	95119-1315	(408) 555-7050	M
Nam-Long	Nolan	140 Great Oaks Blvd	San Jose	CA	95119-1347	(415) 555-0300	F
Norm	Brundo	6850 Santa Teresa Blvd	Los Gatos	CA	95119-1205	(650) 555-1100	M
Tom	Pond	6389 San Ignacio Ave	Santa Clara	CA	95119-1206	(214) 555-3000	M
Jim	Weig	196 Martinvale Lane	Los Gatos	CA	95119-1356	(408) 555-6838	M
Robert	Budden	6150 San Ignacio Ave	San Jose	CA	95119	(415) 555-0900	M
Fred	Stanfill	90 Great Oaks Blvd	Gilroy	CA	95119-1314	(408) 555-3656	M
Eddie	Bleviss	6830 Via Del Oro	San Jose	CA	95119-1353	(408) 555-1955	M
Neil	Nishikawa	133 Bernal Road	Morgan Hill	CA	95119-1305	(916) 555-6800	M
Steve	Smith	181 Martinvale Lane	Milpitas	CA	95119-1319	(510) 555-1000	M
Chris	Dowani	151 Martinvale Lane	San Jose	CA	95119-1319	(213) 555-4257	F
William	Griffin	7011 Realm Drive	Los Altos	CA	95119-1313	(415) 555-2268	M
Chuck	Kidd	7017 Realm Drive	Mountain View	CA	95119-1321	(650) 555-4567	M
Dennis	Sherman	6985 Via Del Oro	Sunnyvale	CA	95119-1317	(408) 555-2220	M
Woody	Corrigan	6951 Via Del Oro	San Jose	CA	95119-1316	(510) 555-8620	M
Mr.	Hagestad	134 Martinvale Lane	San Jose	CA	95119-1318	(408) 555-7600	M
Marie	Deane	152 Martinvale Lane	Gilroy	CA	95119-1355	(408) 555-5451	F
Carol	Saunders	704 Blossom Hill Road	Santa Clara	CA	95123-5403	555-1212	M
Mr.	Lee	5671 Santa Teresa Blvd	Santa Clara	CA	95123-2649	(408) 555-0246	M
Lisa	Beatty	5679 Santa Teresa Blvd	Sunnyvale	CA	95123-2600	(650) 555-8800	M
Mary Anne	Gritzer	5651 Cottle Road	San Jose	CA	95123-3625	(408) 555-8712	F
John	Fette	5860 Blossom Ave	Los Gatos	CA	95123-3264	(408) 555-5060	M
Michelle	Jair	5860 Blossom Ave	Santa Clara	CA	95123-3264	(800) 555-3487	M
Mike	Beals	5950 Cahalan Ave	Santa Clara	CA	95123-3807	(408) 555-2415	M
Mr. Larry	Placzek	5710 Cahalan Ave	San Jose	CA	95123-3010	(415) 555-2660	M
Donald	De Grosz	5828 Santa Teresa Blvd	Santa Clara	CA	95123-4035	(408) 555-8273	M
Walt	Fickey	5300 Monterey Hwy	Los Gatos	CA	95111-4203	(408) 555-1200	M
Ken	Meneses	2767 Buena Point Court	Santa Clara	CA	95121-2918	(408) 555-3000	M
Clyde	Mao	938 Third Street	San Jose	CA	95112-5869	(213) 555-9410	M
Sean	Stivers	2593 King Road	Morgan Hill	CA	95122-1880	(408) 555-9463	M
Ronald	Ferguson	1669 Flanigan Drive	San Jose	CA	95121	(415) 555-2121	M
